Tools	High-quality	Medium-quality	Low-quality	Medium	Low	Dataset
VAMB	277	336	350	59	14	Marine
SemiBin2	270	363	412	93	49	Marine
COMEBin	285	388	443	103	55	Marine
GenomeFace	288	374	417	86	43	Marine
TaxVAMB	282	381	431	99	50	Marine
TaxVAMB_wo_taxometer	265	347	409	82	62	Marine
VAMB	32	34	36	2	2	Strain-madness
SemiBin2	46	63	67	17	4	Strain-madness
COMEBin	46	68	74	22	6	Strain-madness
GenomeFace	40	47	57	7	10	Strain-madness
TaxVAMB	18	26	26	8	0	Strain-madness
TaxVAMB_wo_taxometer	16	22	29	6	7	Strain-madness
VAMB	61	73	73	12	0	Plant-associated
SemiBin2	84	102	106	18	4	Plant-associated
COMEBin	79	94	99	15	5	Plant-associated
GenomeFace	79	94	100	15	6	Plant-associated
TaxVAMB	70	87	93	17	6	Plant-associated
TaxVAMB_wo_taxometer	49	74	92	25	18	Plant-associated
